Full Name,Year,Type of Publication,Title,List of Coauthors,Num of Coauthors,Venue,CORE Rank
Arvind Easwaran,2018,Conference Paper,Resilience Bounds of Sensing-Based Network Clock Synchronization.,"['Rui Tan', 'Linshan Jiang', 'Jothi Prasanna Shanmuga Sundaram', 'Arvind Easwaran']",3,ICPADS,B
Arvind Easwaran,2018,Conference Paper,Mixed-Criticality Scheduling on Multiprocessors with Service Guarantees.,"['Saravanan Ramanathan', 'Arvind Easwaran']",1,ISORC,C
Arvind Easwaran,2018,Conference Paper,CLAIR: A Contract-Based Framework for Developing Resilient CPS Architectures.,"['Sidharta Andalam', 'Daniel Jun Xian Ng', 'Karthikeyan Thangamariappan', 'Arvind Easwaran']",3,ISORC,C
Arvind Easwaran,2018,Conference Paper,A Self-Reconfiguring Cache Architecture to Improve Control Quality in Cyber-Physical Systems.,"['Mohammad Shihabul Haque', 'Sriram Vasudevan', 'Alamuri Sriram Nihar', 'Akash Kumar', 'Y. C. Tay', 'Arvind Easwaran']",5,ISORC,C
Arvind Easwaran,2018,Conference Paper,Design and Analysis for Dual Priority Scheduling.,"['Xiaozhe Gu', 'Risat Pathan', 'Arvind Easwaran']",2,ISORC,C
Arvind Easwaran,2018,Informal Publication,Resilience Bounds of Sensing-Based Network Clock Synchronization.,"['Rui Tan', 'Linshan Jiang', 'Jothi Prasanna Shanmuga Sundaram', 'Arvind Easwaran']",3,CoRR,Unknown
Arvind Easwaran,2018,Informal Publication,Crossbar-Constrained Technology Mapping for ReRAM based In-Memory Computing.,"['Debjyoti Bhattacharjee', 'Yaswanth Tavva', 'Anupam Chattopadhyay', 'Arvind Easwaran']",3,CoRR,Unknown
Arvind Easwaran,2018,Informal Publication,Flow Network Models for Online Scheduling Real-time Tasks on Multiprocessors.,"['Hyeonjoong Cho', 'Arvind Easwaran']",1,CoRR,Unknown
Arvind Easwaran,2017,Journal Article,Reach-Avoid Verification for Nonlinear Systems Based on Boundary Analysis.,"['Bai Xue', 'Nam-Joon Cho', 'Martin Fränzle', 'Arvind Easwaran']",3,IEEE Trans. Autom. Control.,Unknown
Arvind Easwaran,2017,Journal Article,Underapproximating Backward Reachable Sets by Semialgebraic Sets.,"['Bai Xue', 'Zhikun She', 'Arvind Easwaran']",2,IEEE Trans. Autom. Control.,Unknown
Arvind Easwaran,2017,Journal Article,Global EDF Schedulability Analysis for Parallel Tasks on Multi-Core Platforms.,"['Hoon Sung Chwa', 'Jinkyu Lee', 'Jiyeon Lee', 'Kiew-My Phan', 'Insik Shin', 'Arvind Easwaran']",5,IEEE Trans. Parallel Distributed Syst.,Unknown
Arvind Easwaran,2017,Conference Paper,Area-constrained technology mapping for in-memory computing using ReRAM devices.,"['Debjyoti Bhattacharjee', 'Anupam Chattopadhyay', 'Arvind Easwaran']",2,ASP-DAC,Unknown
Arvind Easwaran,2017,Conference Paper,A systematic security analysis of real-time cyber-physical systems.,"['Anupam Chattopadhyay', 'Shivam Bhasin', 'Arvind Easwaran']",2,ASP-DAC,Unknown
Arvind Easwaran,2017,Conference Paper,Utilization difference based partitioned scheduling of mixed-criticality systems.,"['Saravanan Ramanathan', 'Arvind Easwaran']",1,DATE,B
Arvind Easwaran,2017,Conference Paper,Efficient decentralized active balancing strategy for smart battery cells.,"['Nitin Shivaraman', 'Sebastian Steinhorst', 'Arvind Easwaran']",2,DATE,B
Arvind Easwaran,2017,Conference Paper,Probabilistic analysis for mixed criticality systems using fixed priority preemptive scheduling.,"['Dorin Maxim', 'Robert I. Davis', 'Liliana Cucu-Grosjean', 'Arvind Easwaran']",3,RTNS,National: France
Arvind Easwaran,2016,Journal Article,Towards compositional mixed-criticality real-time scheduling in open systems: invited paper.,"['Jaewoo Lee', 'Hoon Sung Chwa', 'Insik Shin', 'Insup Lee', 'Arvind Easwaran']",4,SIGBED Rev.,Unknown
Arvind Easwaran,2016,Conference Paper,Under-Approximating Backward Reachable Sets by Polytopes.,"['Bai Xue', 'Zhikun She', 'Arvind Easwaran']",2,CAV (1),Unknown
Arvind Easwaran,2016,Conference Paper,Mixed-Criticality Scheduling to Minimize Makespan.,"['Sanjoy K. Baruah', 'Zhishan Guo', 'Arvind Easwaran']",2,FSTTCS,Unknown
Arvind Easwaran,2016,Conference Paper,WiP Abstract: A Novel Strategy for Active Cell Balancing.,"['Sriram Vasudevan', 'Nitin Shivaraman', 'Arvind Easwaran']",2,ICCPS,Unknown
Arvind Easwaran,2016,Conference Paper,Demo Abstract: Predictable SoC Architecture Based on COTS Multi-Core.,"['Nitin Shivaraman', 'Sriram Vasudevan', 'Arvind Easwaran']",2,RTAS,A
Arvind Easwaran,2016,Conference Paper,Dynamic Budget Management with Service Guarantees for Mixed-Criticality Systems.,"['Xiaozhe Gu', 'Arvind Easwaran']",1,RTSS,A*
Arvind Easwaran,2015,Journal Article,Composition of Schedulability Analyses for Real-Time Multiprocessor Systems.,"['Jinkyu Lee', 'Kang G. Shin', 'Insik Shin', 'Arvind Easwaran']",3,IEEE Trans. Computers,Unknown
Arvind Easwaran,2015,Conference Paper,Resource Efficient Isolation Mechanisms in Mixed-Criticality Scheduling.,"['Xiaozhe Gu', 'Kieu-My Phan', 'Insik Shin', 'Arvind Easwaran']",3,ECRTS,B
Arvind Easwaran,2015,Conference Paper,MC-Fluid: Simplified and Optimally Quantified.,"['Sanjoy K. Baruah', 'Zhishan Guo', 'Arvind Easwaran']",2,RTSS,A*
Arvind Easwaran,2014,Journal Article,Contention-free executions for real-time multiprocessor scheduling.,"['Jinkyu Lee', 'Insik Shin', 'Arvind Easwaran']",2,ACM Trans. Embed. Comput. Syst.,Unknown
Arvind Easwaran,2014,Conference Paper,Mapping Time-Critical Safety-Critical Cyber Physical Systems to Hybrid FPGAs.,"['Kizheppatt Vipin', 'Shanker Shreejith', 'Suhaib A. Fahmy', 'Arvind Easwaran']",3,CPSNA,Unknown
Arvind Easwaran,2014,Conference Paper,Message from the Conference Chairs.,"['Victor C. S. Lee', 'Joseph Kee-Yin Ng', 'Arvind Easwaran']",2,CPSNA,Unknown
Arvind Easwaran,2014,Conference Paper,MC-Fluid: Fluid Model-Based Mixed-Criticality Scheduling on Multiprocessors.,"['Jaewoo Lee', 'Kieu-My Phan', 'Xiaozhe Gu', 'Jiyeon Lee', 'Insik Shin', 'Insup Lee', 'Arvind Easwaran']",6,RTSS,A*
Arvind Easwaran,2013,Conference Paper,Global EDF Schedulability Analysis for Synchronous Parallel Tasks on Multicore Platforms.,"['Hoon Sung Chwa', 'Jinkyu Lee', 'Kieu-My Phan', 'Insik Shin', 'Arvind Easwaran']",4,ECRTS,B
Arvind Easwaran,2013,Conference Paper,Demand-Based Scheduling of Mixed-Criticality Sporadic Tasks on One Processor.,['Arvind Easwaran'],0,RTSS,A*
Arvind Easwaran,2013,Conference Paper,Welcome message.,"['Eduardo Tovar', 'Richard Zurawski', 'Roberto Passerone', 'Karl-Erik Årzén', 'Luca Santinelli', 'Arvind Easwaran']",5,SIES,Unknown
Arvind Easwaran,2012,Journal Article,Convex optimization framework for intermediate deadline assignment in soft and hard real-time distributed systems.,"['Jinkyu Lee', 'Insik Shin', 'Arvind Easwaran']",2,J. Syst. Softw.,Unknown
Arvind Easwaran,2012,Journal Article,Laxity dynamics and LLF schedulability analysis on multiprocessor platforms.,"['Jinkyu Lee', 'Insik Shin', 'Arvind Easwaran']",2,Real Time Syst.,Unknown
Arvind Easwaran,2012,Conference Paper,Extending Task-level to Job-level Fixed Priority Assignment and Schedulability Analysis Using Pseudo-deadlines.,"['Hoon Sung Chwa', 'Hyoungbu Back', 'Sanjian Chen', 'Jinkyu Lee', 'Insik Shin', 'Insup Lee', 'Arvind Easwaran']",6,RTSS,A*
Arvind Easwaran,2011,Journal Article,Zero-laxity based real-time multiprocessor scheduling.,"['Jinkyu Lee', 'Insik Shin', 'Insup Lee', 'Arvind Easwaran']",3,J. Syst. Softw.,Unknown
Arvind Easwaran,2011,Journal Article,CARTS: a tool for compositional analysis of real-time systems.,"['Linh T. X. Phan', 'Jaewoo Lee', 'Vinay Ramaswamy', 'Sanjian Chen', 'Insup Lee', 'Oleg Sokolsky', 'Arvind Easwaran']",6,SIGBED Rev.,Unknown
Arvind Easwaran,2011,Conference Paper,Maximizing Contention-Free Executions in Multiprocessor Scheduling.,"['Jinkyu Lee', 'Insik Shin', 'Arvind Easwaran']",2,IEEE Real-Time and Embedded Technology and Applications Symposium,A
Arvind Easwaran,2011,Conference Paper,Response Time Analysis of COTS-Based Multicores Considering the Contention on the Shared Memory Bus.,"['Dakshina Dasari', 'Björn Andersson', 'Vincent Nélis', 'Stefan M. Petters', 'Jinkyu Lee', 'Arvind Easwaran']",5,TrustCom,B
Arvind Easwaran,2010,Journal Article,Provably good multiprocessor scheduling with resource sharing.,"['Björn Andersson', 'Arvind Easwaran']",1,Real Time Syst.,Unknown
Arvind Easwaran,2010,Journal Article,Finding an upper bound on the increase in execution time due to contention on the memory bus in COTS-based multicore systems.,"['Björn Andersson', 'Jinkyu Lee', 'Arvind Easwaran']",2,SIGBED Rev.,Unknown
Arvind Easwaran,2010,Journal Article,Multiprocessor real-time scheduling considering concurrency and urgency.,"['Jinkyu Lee', 'Insik Shin', 'Insup Lee', 'Arvind Easwaran']",3,SIGBED Rev.,Unknown
Arvind Easwaran,2010,Conference Paper,Online robust optimization framework for QoS guarantees in distributed soft real-time systems.,"['Jinkyu Lee', 'Insik Shin', 'Arvind Easwaran']",2,EMSOFT,Journal published
Arvind Easwaran,2010,Conference Paper,LLF Schedulability Analysis on Multiprocessor Platforms.,"['Jinkyu Lee', 'Insik Shin', 'Arvind Easwaran']",2,RTSS,A*
Arvind Easwaran,2010,Informal Publication,Resource Sharing in Global Fixed-Priority Preemptive Multiprocessor Scheduling.,"['Björn Andersson', 'Arvind Easwaran']",1,Scheduling,C
Arvind Easwaran,2009,Journal Article,Optimal virtual cluster-based multiprocessor scheduling.,"['Insik Shin', 'Insup Lee', 'Arvind Easwaran']",2,Real Time Syst.,Unknown
Arvind Easwaran,2009,Conference Paper,Scheduling Sporadic Tasks on Multiprocessors with Mutual Exclusion Constraints.,"['Björn Andersson', 'Arvind Easwaran']",1,ICPP Workshops,Unknown
Arvind Easwaran,2009,Conference Paper,A Compositional Scheduling Framework for Digital Avionics Systems.,"['Insup Lee', 'Oleg Sokolsky', 'Steve Vestal', 'Arvind Easwaran']",3,RTCSA,B
Arvind Easwaran,2009,Conference Paper,Resource Sharing in Global Fixed-Priority Preemptive Multiprocessor Scheduling.,"['Björn Andersson', 'Arvind Easwaran']",1,RTSS,A*
Arvind Easwaran,2008,Journal Article,Compositional schedulability analysis for cyber-physical systems.,"['Insup Lee', 'Arvind Easwaran']",1,SIGBED Rev.,Unknown
Arvind Easwaran,2008,Conference Paper,Hierarchical Scheduling Framework for Virtual Clustering of Multiprocessors.,"['Insik Shin', 'Insup Lee', 'Arvind Easwaran']",2,ECRTS,B
Arvind Easwaran,2008,Conference Paper,Compositional Feasibility Analysis of Conditional Real-Time Task Models.,"['Madhukar Anand', 'Sebastian Fischmeister', 'Insup Lee', 'Arvind Easwaran']",3,ISORC,C
Arvind Easwaran,2007,Conference Paper,Compositional Schedulability Analysis of Hierarchical Real-Time Systems.,"['Insup Lee', 'Insik Shin', 'Oleg Sokolsky', 'Arvind Easwaran']",3,ISORC,C
Arvind Easwaran,2007,Conference Paper,Compositional Analysis Framework Using EDP Resource Models.,"['Madhukar Anand', 'Insup Lee', 'Arvind Easwaran']",2,RTSS,A*
Arvind Easwaran,2006,Conference Paper,Incremental schedulability analysis of hierarchical real-time components.,"['Insik Shin', 'Oleg Sokolsky', 'Insup Lee', 'Arvind Easwaran']",3,EMSOFT,Journal published
Arvind Easwaran,2005,Conference Paper,Steering of Discrete Event Systems: Control Theory Approach.,"['Sampath Kannan', 'Oleg Sokolsky', 'Arvind Easwaran']",2,RV@CAV,Unknown
Arvind Easwaran,2004,Conference Paper,Simulation of Simultaneous Events in Regular Expressions for Run-Time Verification.,"['Usa Sammapun', 'Insup Lee', 'Oleg Sokolsky', 'Arvind Easwaran']",3,RV@ETAPS,Unknown
"Vun Chan Hua, Nicholas",2018,Journal Article,A Feature-Based Compressive Spectrum Sensing Technique for Cognitive Radio Operation.,"['Hao Chen', 'Vun Chan Hua, Nicholas']",2,Circuits Syst. Signal Process.,Unknown
"Vun Chan Hua, Nicholas",2018,Journal Article,A Novel Matrix Optimization for Compressive Sampling-Based Sub-Nyquist OFDM Receiver in Cognitive Radio.,"['Hao Chen', 'Vun Chan Hua, Nicholas']",2,Circuits Syst. Signal Process.,Unknown
"Vun Chan Hua, Nicholas",2018,Journal Article,Smartphone Orientation Estimation Algorithm Combining Kalman Filter With Gradient Descent.,"['Seanglidet Yean', 'Hong Lye Oh', 'Lee Bu Sung', 'Vun Chan Hua, Nicholas', 'Yeo Chai Kiat']",5,IEEE J. Biomed. Health Informatics,Unknown
"Vun Chan Hua, Nicholas",2017,Journal Article,Fracturable DSP Block for Multi-context Reconfigurable Architectures.,"['Rakesh Warrier', 'Shanker Shreejith', 'Wei Zhang', 'Suhaib A. Fahmy', 'Vun Chan Hua, Nicholas']",5,Circuits Syst. Signal Process.,Unknown
"Vun Chan Hua, Nicholas",2017,Journal Article,Pipeline Reconfigurable DSP for Dynamically Reconfigurable Architectures.,"['Rakesh Warrier', 'Wei Zhang', 'Vun Chan Hua, Nicholas']",3,Circuits Syst. Signal Process.,Unknown
"Vun Chan Hua, Nicholas",2015,Conference Paper,Compressive sensing techniques for UWB indoor positioning applications.,"['H. Chen', 'Nicholas C. H. Vun']",2,ICCE,C
"Vun Chan Hua, Nicholas",2015,Conference Paper,Securing IoT for smart home system.,"['Freddy K. Santoso', 'Nicholas C. H. Vun']",2,ISCE,Unknown
"Vun Chan Hua, Nicholas",2014,Conference Paper,A low-power pipelined MAC architecture using Baugh-Wooley based multiplier.,"['Rakesh Warrier', 'Wei Zhang', 'Vun Chan Hua, Nicholas']",3,GCCE,Unknown
"Vun Chan Hua, Nicholas",2014,Conference Paper,A high performance hardware based RNS-to-binary converter.,"['K. M. Karthik', 'Nicholas C. H. Vun']",2,ICCE,C
"Vun Chan Hua, Nicholas",2014,Conference Paper,Sum of products: Computation using modular thermometer codes.,"['A. Benjamin Premkumar', 'Wei Zhang', 'Vun Chan Hua, Nicholas']",3,ISPACS,Unknown
"Vun Chan Hua, Nicholas",2013,Journal Article,A New RNS based DA Approach for Inner Product Computation.,"['A. Benjamin Premkumar', 'Wei Zhang', 'Vun Chan Hua, Nicholas']",3,IEEE Trans. Circuits Syst. I Regul. Pap.,Unknown
"Vun Chan Hua, Nicholas",2013,Conference Paper,Efficient reverse converters designs for RNS based digital signal processing systems.,"['Kalyanaraman Karthik', 'Nicholas Chan Hua Vun']",2,GCCE,Unknown
"Vun Chan Hua, Nicholas",2013,Conference Paper,Design of LUT based RNS reverse converters.,"['Wei Lam Kong', 'Nicholas Chan Hua Vun']",2,ISCE,Unknown
"Vun Chan Hua, Nicholas",2012,Book,Number theory based signal conversion and processing techniques.,"['Vun Chan Hua, Nicholas']",1,UNK,Unknown
"Vun Chan Hua, Nicholas",2012,Conference Paper,RNS encoding based folding ADC.,"['A. Benjamin Premkumar', 'Vun Chan Hua, Nicholas']",2,ISCAS,Unknown
"Vun Chan Hua, Nicholas",2010,Conference Paper,Implementation of an Android Phone Based Video Streamer.,"['Nicholas C. H. Vun', 'Y. H. Ooi']",2,GreenCom/CPSCom,Unknown
"Vun Chan Hua, Nicholas",2008,Conference Paper,Real-Time Enhancements for Embedded Linux.,"['Nicholas Vun', 'H. F. Hor', 'J. W. Chao']",3,ICPADS,B
"Vun Chan Hua, Nicholas",2007,Conference Paper,The design of effective low cost embedded processor development kits for supporting take-home self-practice pedagogies.,"['Nicholas Vun', 'Goh Wooi Boon']",2,ICPADS,B
"Vun Chan Hua, Nicholas",2007,Conference Paper,Issues and challenges of embedded processor education for working professionals.,"['Nicholas Vun', 'Goh Wooi Boon']",2,ICPADS,B
"Vun Chan Hua, Nicholas",2000,Journal Article,Power LAN MIB for management of intelligent telecommunication equipment.,"['Nicholas C. H. Vun', 'Lau Chiew Tong', 'Lee Bu Sung']",3,J. Netw. Comput. Appl.,Unknown
Kwoh Chee Keong,2023,Journal Article,A universal transfer network for machinery fault diagnosis.,"['Xiaolei Yu', 'Zhibin Zhao', 'Xingwu Zhang', 'Shaohua Tian', 'Chee-Keong Kwoh', 'Xiaoli Li', 'Xuefeng Chen']",7,Comput. Ind.,Unknown
Kwoh Chee Keong,2023,Journal Article,Virulence network of interacting domains of influenza a and mouse proteins.,"['Teng Ann Ng', 'Shamima Rashid', 'Kwoh Chee Keong']",3,Frontiers Bioinform.,Unknown
Kwoh Chee Keong,2023,Journal Article,Directed collaboration patterns in funded teams: A perspective of knowledge flow.,"['Bentao Zou', 'Yuefen Wang', 'Yonghua Cen', 'Kwoh Chee Keong']",4,Inf. Process. Manag.,Unknown
Kwoh Chee Keong,2023,Journal Article,ViPal: A framework for virulence prediction of influenza viruses with prior viral knowledge using genomic sequences.,"['Rui Yin', 'Zihan Luo', 'Pei Zhuang', 'Min Zeng', 'Min Li', 'Zhuoyi Lin', 'Kwoh Chee Keong']",7,J. Biomed. Informatics,Unknown
Kwoh Chee Keong,2023,Journal Article,Empirical Study of Protein Feature Representation on Deep Belief Networks Trained With Small Data for Secondary Structure Prediction.,"['Shamima Rashid', 'Suresh Sundaram', 'Kwoh Chee Keong']",3,IEEE ACM Trans. Comput. Biol. Bioinform.,Unknown
Kwoh Chee Keong,2023,Journal Article,ADAST: Attentive Cross-Domain EEG-Based Sleep Staging Framework With Iterative Self-Training.,"['Emadeldeen Eldele', 'Mohamed Ragab', 'Zhenghua Chen', 'Min Wu', 'Chee-Keong Kwoh', 'Xiaoli Li', 'Guan Cuntai']",7,IEEE Trans. Emerg. Top. Comput. Intell.,Unknown
Kwoh Chee Keong,2023,Journal Article,COMET: Convolutional Dimension Interaction for Collaborative Filtering.,"['Zhuoyi Lin', 'Lei Feng', 'Xingzhi Guo', 'Yu Zhang', 'Rui Yin', 'Chi Xu', 'Kwoh Chee Keong']",7,ACM Trans. Intell. Syst. Technol.,Unknown
Kwoh Chee Keong,2023,Journal Article,ADATIME: A Benchmarking Suite for Domain Adaptation on Time Series Data.,"['Mohamed Ragab', 'Emadeldeen Eldele', 'Wee Ling Tan', 'Chuan-Sheng Foo', 'Zhenghua Chen', 'Min Wu', 'Xiaoli Li', 'Kwoh Chee Keong']",8,ACM Trans. Knowl. Discov. Data,Unknown
Kwoh Chee Keong,2023,Journal Article,Attention Over Self-Attention: Intention-Aware Re-Ranking With Dynamic Transformer Encoders for Recommendation.,"['Zhuoyi Lin', 'Sheng Zang', 'Rundong Wang', 'Zhu Sun', 'J. Senthilnath', 'Chi Xu', 'Kwoh Chee Keong']",7,IEEE Trans. Knowl. Data Eng.,Unknown
Kwoh Chee Keong,2023,Informal Publication,Label-efficient Time Series Representation Learning: A Review.,"['Emadeldeen Eldele', 'Mohamed Ragab', 'Zhenghua Chen', 'Min Wu', 'Xiaoli Li', 'Kwoh Chee Keong']",6,CoRR,Unknown
Kwoh Chee Keong,2023,Informal Publication,Adaptive Stylization Modulation for Domain Generalized Semantic Segmentation.,"['Gabriel Tjio', 'Ping Liu', 'Chee-Keong Kwoh', 'Joey Tianyi Zhou']",4,CoRR,Unknown
Kwoh Chee Keong,2023,Informal Publication,Generating Reliable Pixel-Level Labels for Source Free Domain Adaptation.,"['Gabriel Tjio', 'Ping Liu', 'Yawei Luo', 'Joey Tianyi Zhou', 'Kwoh Chee Keong']",5,CoRR,Unknown
Kwoh Chee Keong,2022,Journal Article,"Graph representation learning in bioinformatics: trends, methods and applications.","['Hai-Cheng Yi', 'Zhu-Hong You', 'De-Shuang Huang', 'Kwoh Chee Keong']",4,Briefings Bioinform.,Unknown
Kwoh Chee Keong,2022,Journal Article,A framework for predicting variable-length epitopes of human-adapted viruses using machine learning methods.,"['Rui Yin', 'Xianghe Zhu', 'Min Zeng', 'Pengfei Wu', 'Min Li', 'Kwoh Chee Keong']",6,Briefings Bioinform.,Unknown
Kwoh Chee Keong,2022,Journal Article,Jupytope: computational extraction of structural properties of viral epitopes.,"['Shamima Rashid', 'Teng Ann Ng', 'Kwoh Chee Keong']",3,Briefings Bioinform.,Unknown
Kwoh Chee Keong,2022,Journal Article,Pre-training graph neural networks for link prediction in biomedical networks.,"['Yahui Long', 'Min Wu', 'Yong Liu', 'Yuan Fang', 'Jinmiao Chen', 'Jiawei Luo', 'Xiaoli Li', 'Kwoh Chee Keong']",8,Bioinform.,Unknown
Kwoh Chee Keong,2022,Journal Article,An Efficient Multiresolution Clustering for Motif Discovery in Complex Networks.,['Mahdi Pursalim'],1,IEEE ACM Trans. Comput. Biol. Bioinform.,Unknown
Kwoh Chee Keong,2022,Journal Article,IAV-CNN: A 2D Convolutional Neural Network Model to Predict Antigenic Variants of Influenza A Virus.,"['Rui Yin', 'Nyi Nyi Thwin', 'Pei Zhuang', 'Zhuoyi Lin', 'Kwoh Chee Keong']",5,IEEE ACM Trans. Comput. Biol. Bioinform.,Unknown
Kwoh Chee Keong,2022,Journal Article,Toward Multidiversified Ensemble Clustering of High-Dimensional Data: From Subspaces to Metrics and Beyond.,"['Dong Huang', 'Chang-Dong Wang', 'Jian-Huang Lai', 'Kwoh Chee Keong']",4,IEEE Trans. Cybern.,Unknown
Kwoh Chee Keong,2022,Journal Article,Conditional Contrastive Domain Generalization for Fault Diagnosis.,"['Mohamed Ragab', 'Zhenghua Chen', 'Wenyu Zhang', 'Emadeldeen Eldele', 'Min Wu', 'Xiaoli Li', 'Kwoh Chee Keong']",7,IEEE Trans. Instrum. Meas.,Unknown
Kwoh Chee Keong,2022,Conference Paper,A heterogeneous graph cross-omics attention model for single-cell representation learning.,"['Yue Liu', 'Junfeng Zhang', 'Shulin Wang', 'Wei Zhang', 'Xiangxiang Zeng', 'Kwoh Chee Keong']",6,BIBM,Unknown
Kwoh Chee Keong,2022,Conference Paper,Rotating Machinery Fault Diagnosis Based on Multi-sensor Information Fusion Using Graph Attention Network.,"['Chenyang Li', 'Xiaoli Li', 'Lingfei Mo', 'Ruqiang Yan', 'Kwoh Chee Keong']",5,ICARCV,C
Kwoh Chee Keong,2022,N/A,"IEEE Symposium Series on Computational Intelligence, SSCI 2022, Singapore, December 4-7, 2022.","['Hisao Ishibuchi', 'Chee-Keong Kwoh', 'Ah-Hwee Tan', 'Dipti Srinivasan', 'Anupam Trivedi', 'Keeley A. Crockett', 'Miao Chun Yan']",7,UNK,Unknown
Kwoh Chee Keong,2022,Informal Publication,Attention over Self-attention: Intention-aware Re-ranking with Dynamic Transformer Encoders for Recommendation.,"['Zhuoyi Lin', 'Sheng Zang', 'Rundong Wang', 'Zhu Sun', 'Chi Xu', 'Kwoh Chee Keong']",6,CoRR,Unknown
Kwoh Chee Keong,2022,Informal Publication,ADATIME: A Benchmarking Suite for Domain Adaptation on Time Series Data.,"['Mohamed Ragab', 'Emadeldeen Eldele', 'Wee Ling Tan', 'Chuan-Sheng Foo', 'Zhenghua Chen', 'Min Wu', 'Xiaoli Li', 'Kwoh Chee Keong']",8,CoRR,Unknown
Kwoh Chee Keong,2022,Informal Publication,Self-supervised Contrastive Representation Learning for Semi-supervised Time-Series Classification.,"['Emadeldeen Eldele', 'Mohamed Ragab', 'Zhenghua Chen', 'Min Wu', 'Xiaoli Li', 'Guan Cuntai', 'Kwoh Chee Keong']",7,CoRR,Unknown
Kwoh Chee Keong,2022,Informal Publication,Self-supervised Learning for Label-Efficient Sleep Stage Classification: A Comprehensive Evaluation.,"['Emadeldeen Eldele', 'Mohamed Ragab', 'Zhenghua Chen', 'Min Wu', 'Xiaoli Li', 'Kwoh Chee Keong']",6,CoRR,Unknown
Kwoh Chee Keong,2022,Informal Publication,CoTMix: Contrastive Domain Adaptation for Time-Series via Temporal Mixup.,"['Emadeldeen Eldele', 'Mohamed Ragab', 'Zhenghua Chen', 'Min Wu', 'Xiaoli Li', 'Kwoh Chee Keong']",6,CoRR,Unknown
Kwoh Chee Keong,2021,Journal Article,DeepCPP: a deep neural network based on nucleotide bias information and minimum distribution similarity feature selection for RNA coding potential prediction.,"['Yu Zhang', 'Cangzhi Jia', 'Melissa Jane Fullwood', 'Kwoh Chee Keong']",4,Briefings Bioinform.,Unknown
Kwoh Chee Keong,2021,Journal Article,Recent advances in network-based methods for disease gene prediction.,"['Sezin Kircali Ata', 'Min Wu', 'Yuan Fang', 'Le Ou-Yang', 'Xiaoli Li', 'Kwoh Chee Keong']",6,Briefings Bioinform.,Unknown
Kwoh Chee Keong,2021,Journal Article,Predicting the interaction biomolecule types for lncRNA: an ensemble deep learning approach.,"['Yu Zhang', 'Cangzhi Jia', 'Kwoh Chee Keong']",3,Briefings Bioinform.,Unknown
Kwoh Chee Keong,2021,Journal Article,Chromatin loop anchors predict transcript and exon usage.,"['Yu Zhang', 'Yichao Cai', 'Xavier Roca', 'Melissa Jane Fullwood', 'Kwoh Chee Keong']",5,Briefings Bioinform.,Unknown
Kwoh Chee Keong,2021,Journal Article,VirPreNet: a weighted ensemble convolutional neural network for the virulence prediction of influenza A virus using all eight segments.,"['Rui Yin', 'Zihan Luo', 'Pei Zhuang', 'Zhuoyi Lin', 'Kwoh Chee Keong']",5,Bioinform.,Unknown
Kwoh Chee Keong,2021,Journal Article,Graph contextualized attention network for predicting synthetic lethality in human cancers.,"['Yahui Long', 'Min Wu', 'Yong Liu', 'Jie Zheng', 'Jiawei Luo', 'Xiaoli Li', 'Kwoh Chee Keong']",7,Bioinform.,Unknown
Kwoh Chee Keong,2021,Journal Article,Class similarity network for coding and long non-coding RNA classification.,"['Yu Zhang', 'Yahui Long', 'Kwoh Chee Keong']",3,BMC Bioinform.,Unknown
Kwoh Chee Keong,2021,Journal Article,Attention-based sequence to sequence model for machine remaining useful life prediction.,"['Mohamed Ragab', 'Zhenghua Chen', 'Min Wu', 'Ruqiang Yan', 'Xiaoli Li', 'Kwoh Chee Keong']",6,Neurocomputing,Unknown
Kwoh Chee Keong,2021,Journal Article,GLIMG: Global and local item graphs for top-N recommender systems.,"['Zhuoyi Lin', 'Lei Feng', 'Rui Yin', 'Chi Xu', 'Kwoh Chee Keong']",5,Inf. Sci.,Unknown
Kwoh Chee Keong,2021,Journal Article,Contrastive Adversarial Domain Adaptation for Machine Remaining Useful Life Prediction.,"['Mohamed Ragab', 'Zhenghua Chen', 'Min Wu', 'Chuan Sheng Foo', 'Ruqiang Yan', 'Xiaoli Li', 'Kwoh Chee Keong']",7,IEEE Trans. Ind. Informatics,Unknown
Kwoh Chee Keong,2021,Journal Article,Adversarial Multiple-Target Domain Adaptation for Fault Classification.,"['Mohamed Ragab', 'Zhenghua Chen', 'Min Wu', 'Haoliang Li', 'Chee-Keong Kwoh', 'Ruqiang Yan', 'Xiaoli Li']",7,IEEE Trans. Instrum. Meas.,Unknown
Kwoh Chee Keong,2021,Journal Article,Multi-View Collaborative Network Embedding.,"['Sezin Kircali Ata', 'Yuan Fang', 'Min Wu', 'Jiaqi Shi', 'Xiaoli Li', 'Kwoh Chee Keong']",6,ACM Trans. Knowl. Discov. Data,Unknown
Kwoh Chee Keong,2021,Journal Article,Enhanced Ensemble Clustering via Fast Propagation of Cluster-Wise Similarities.,"['Dong Huang', 'Chang-Dong Wang', 'Hongxing Peng', 'Jianhuang Lai', 'Chee-Keong Kwoh']",5,IEEE Trans. Syst. Man Cybern. Syst.,Unknown
