Full Name,Year,Type of Publication,Title,List of Coauthors,Num of Coauthors,Venue,CORE Rank
Wai Kin Adams Kong,2019,Conference Paper,Towards Touch-to-Access Device Authentication Using Induced Body Electric Potentials.,"['Zhenyu Yan', 'Qun Song', 'Rui Tan', 'Yang Li', 'Wai Kin Adams Kong']",5,MobiCom,A*
Wai Kin Adams Kong,2019,Conference Paper,Attacking Object Detectors Without Changing the Target Object.,"['Yi Huang', 'Kwok-Yan Lam', 'Wai Kin Adams Kong']",3,PRICAI (3),Unknown
Wai Kin Adams Kong,2019,Informal Publication,Towards Touch-to-Access Device Authentication Using Induced Body Electric Potentials.,"['Zhenyu Yan', 'Qun Song', 'Rui Tan', 'Yang Li', 'Wai Kin Adams Kong']",5,CoRR,Unknown
Wai Kin Adams Kong,2019,Informal Publication,Giant Panda Face Recognition Using Small Dataset.,"['Wojciech Michal Matkowski', 'Han Su', 'Peng Chen', 'Rong Hou', 'Zhihe Zhang', 'Wai Kin Adams Kong']",6,CoRR,Unknown
Wai Kin Adams Kong,2019,Informal Publication,The Nipple-Areola Complex for Criminal Identification.,"['Wojciech Michal Matkowski', 'Krzysztof Matkowski', 'Cory Lloyd Hall', 'Wai Kin Adams Kong']",4,CoRR,Unknown
Wai Kin Adams Kong,2019,Informal Publication,A Study on Wrist Identification for Forensic Investigation.,"['Wojciech Michal Matkowski', 'Frodo Kin Sun Chan', 'Wai Kin Adams Kong']",3,CoRR,Unknown
Wai Kin Adams Kong,2019,Informal Publication,Palmprint Recognition in Uncontrolled and Uncooperative Environment.,"['Wojciech Michal Matkowski', 'Tingting Chai', 'Wai Kin Adams Kong']",3,CoRR,Unknown
Wai Kin Adams Kong,2018,Journal Article,A further study of low resolution androgenic hair patterns as a soft biometric trait.,"['Frodo Kin-Sun Chan', 'Wai Kin Adams Kong']",2,Image Vis. Comput.,Unknown
Wai Kin Adams Kong,2018,Conference Paper,From the Perspective of CNN to Adversarial Iris Images.,"['Yi Huang', 'Kwok-Yan Lam', 'Wai Kin Adams Kong']",3,BTAS,Unknown
Wai Kin Adams Kong,2018,Conference Paper,A Constrained Deep Neural Network for Ordinal Regression.,"['Yanzhu Liu', 'Chi Keong Goh', 'Wai Kin Adams Kong']",3,CVPR,A*
Wai Kin Adams Kong,2018,Conference Paper,Using Object Information for Spotting Text.,"['Shitala Prasad', 'Wai Kin Adams Kong']",2,ECCV (16),Unknown
Wai Kin Adams Kong,2018,Conference Paper,A Meta-Recognition Based Skin Marks Matching Algorithm with Feature Fusion for Forensic Identification.,"['Peicong Yu', 'Wai Kin Adams Kong']",2,ICB,Unknown
Wai Kin Adams Kong,2017,Journal Article,A multi-model restoration algorithm for recovering blood vessels in skin images.,"['Xiaojie Li', 'Wai Kin Adams Kong']",2,Image Vis. Comput.,Unknown
Wai Kin Adams Kong,2017,Journal Article,A Study of Distinctiveness of Skin Texture for Forensic Applications Through Comparison With Blood Vessels.,"['Frodo Kin-Sun Chan', 'Xiaojie Li', 'Wai Kin Adams Kong']",3,IEEE Trans. Inf. Forensics Secur.,Unknown
Wai Kin Adams Kong,2017,Conference Paper,Deep Ordinal Regression Based on Data Relationship for Small Datasets.,"['Yanzhu Liu', 'Chi Keong Goh', 'Wai Kin Adams Kong']",3,IJCAI,A*
Wai Kin Adams Kong,2016,Journal Article,Using multiple models to uncover blood vessel patterns in color images for forensic analysis.,"['Chaoying Tang', 'Hengyi Zhang', 'Wai Kin Adams Kong']",3,Inf. Fusion,Unknown
